Key,Id,Arabic(ar),Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Hindi(hi),Italian(it),Japanese(ja),Korean(ko),Portuguese(pt),Russian(ru),Spanish(es),Swahili(sw)
LANG_ID,3.64294E+12,ar,zh-Hans,en,fr,de,hi,it,ja,ko,pt,ru,es,sw
DescriptionLabel,13195927552,وصف,描述,Description,Description,Beschreibung,या क़िस्‍म,Descrizione,形容,묘사,Descrição,Описание,Descripción,Maelezo
TherapyNotesLabel,97455300608,ملاحظات العلاج,治疗笔记,Therapy Notes,Notes de thérapie,Therapie-Hinweise,थेरेपी नोट्स,Note terapeutiche,セラピーノート,치료 노트,Notas de terapia,Заметки о терапии,Notas de terapia,Vidokezo vya Tiba
ExercisesLabel,1.61653E+11,التمارين,习题,Exercises,Exercices,Übungen,अभ्यास,Esercizi,演習,연습,Exercícios,Упражнения,Ejercicios,Mazoezi
TutorialsLabel,2.19698E+11,الدروس,教程,Tutorials,Tutoriels,Tutorials,ट्यूटोरियल,Tutorial,チュートリアル,자습서,Tutoriais,Учебники,Tutoriales,Tutorials
DurationLabel,3.59826E+11,المدة: {0} دقيقة,时长： {0} 分钟,Duration: {0} minute,Durée : {0} minute,Dauer: {0} Minute,अवधि: {0} मिनट,Durata: {0} minuti,所要時間:{0}分,소요 시간: {0} 분,Duração: {0} minutos,Продолжительность: {0} минут,Duración: {0} minuto,Muda: {0} dakika
DurationLabelPlural,3.59826E+11,المدة: {0} دقيقة,持续时间： {0} 分钟,Duration: {0} minutes,Durée : {0} minutes,Dauer: {0} Minuten,अवधि: {0} मिनट,Durata: {0} minuti,所要時間:{0}分,소요 시간: {0}분,Duração: {0} minutos,Продолжительность: {0} минут,Duración: {0} minutos,Muda: {0} dakika
SetsLabel,4.08329E+11,# من المجموعات,# 套数,# of Sets,# d’ensembles,# der Sets,# सेट का,# di insiemi,# セット,# 세트 수,# de conjuntos,# наборов,# de Conjuntos,# ya Seti
UnlockedLabel,4.8209E+14,مقفله,解 锁,Unlocked,Déverrouillé,Unverschlossen,खुला,Sbloccato,ロック 解除,잠금 해제,Desbloqueado,Разблокирован,Desbloqueado,Imefunguliwa
SetsHint,4.83874E+14,تلميح: اضبط على 0 لتعطيل هذه اللعبة.,提示：设置为 0 将禁用此游戏。,Hint: Set to 0 to disable this game.,Astuce : Réglez sur 0 pour désactiver ce jeu.,"Tipp: Stellen Sie auf 0 ein, um dieses Spiel zu deaktivieren.",संकेत: इस गेम को अक्षम करने के लिए 0 पर सेट करें।,Suggerimento: imposta su 0 per disabilitare questo gioco.,ヒント:このゲームを無効にするには、0に設定します。,힌트: 이 게임을 비활성화하려면 0으로 설정하십시오.,Dica: Defina como 0 para desativar este jogo.,"Подсказка: установите значение 0, чтобы отключить эту игру.",Sugerencia: Establézcalo en 0 para desactivar este juego.,Kidokezo: Weka hadi 0 ili kuzima mchezo huu.
TutorialPreamble,4.84966E+14,انظر الرابط (الروابط) أدناه للحصول على التمارين المناسبة لهذه اللعبة.,请参阅下面的链接以获取此游戏的正确练习。,See the link(s) below for proper exercises for this game.,Voir le(s) lien(s) ci-dessous pour les exercices appropriés pour ce jeu.,Unter den untenstehenden Links finden Sie die richtigen Übungen für dieses Spiel.,इस खेल के लिए उचित अभ्यास के लिए नीचे दिए गए लिंक देखें।,Vedi i link qui sotto per gli esercizi corretti per questo gioco.,このゲームの適切なエクササイズについては、以下のリンクを参照してください。,이 게임에 대한 적절한 연습은 아래 링크를 참조하십시오.,Veja o(s) link(s) abaixo para exercícios adequados para este jogo.,"Смотрите ссылки ниже, чтобы узнать о подходящих упражнениях для этой игры.",Consulte los enlaces a continuación para ver los ejercicios adecuados para este juego.,Tazama kiungo hapa chini kwa mazoezi sahihi ya mchezo huu.
